slot,max_bid,max_bid_relay,mev_reward,mev_reward_relay,proposer_index,is_rocketpool,node_address,in_smoothing_pool,correct_fee_recipient,priority_fees,avg_fee,eth_collat_ratio,is_vanilla,reth_portion,proxy_max_bid
5000456,,,,,400489.0,True,0x5eBAD7af6c03f00D5CECA00a80AFD1926fD29e9c,False,True,0.06590933683397943,0.15,2.0,True,0.425,0.28408719332833937
5000583,,,,,266692.0,True,0x313674b062Fd777a947440CC53d2Cd04825DC920,True,True,0.02051072028478937,0.11116070062840253,4.0,True,0.666629474528698,0.10839085333706149
5001244,,,,,296836.0,True,0x7aE831e8EF607eaD2634Ec1E9bCb95bB1f6Ff411,False,True,0.05163239618675144,0.18474822918184175,2.0,True,0.4076258854090791,0.07963530282413163
5001952,,,,,417809.0,True,0x08f5DB7653072c185023cBbaa277469Ac079B457,False,True,0.02155332091479902,0.15,2.0,True,0.425,0.07605510885365069
5002018,,,,,316310.0,True,0xDb122799F0b6b3d3aD388eBd80dF259b8273C1Ec,False,True,0.08352995527027787,0.15,2.0,True,0.425,0.055529066919083436
5002307,,,,,277388.0,True,0x5e624FAEDc7AA381b574c3C2fF1731677Dd2ee1d,True,True,0.002789408212025427,0.15,2.4,True,0.49583333333333324,0.06959470618386958
5002507,,,,,276296.0,True,0x01B984Ec0d745Ebd1001768E8f791B7C60df82DF,False,True,0.002259941294333212,0.15,2.0,True,0.425,0.07714954753198011
5003732,,,,,435227.0,True,0xCde1fe0664Cad959106c6e562bf3F3625cbd5b44,True,True,0.04509797647877255,0.15,2.0,True,0.425,0.11742581589477136
5003739,,,,,440364.0,True,0xE0878Ff2a29a0460C6d66C35F4215E7e5aD49388,True,True,0.06267345250021036,0.15,4.0,True,0.6375,0.05771124498740722
5005575,,,,,268398.0,True,0x9Fe9FfbfD57ab78D4d01973482258bfC4BB70bE3,True,True,0.00984944732438912,0.1601122328793886,2.0,True,0.4199438835603057,0.05606446871903037
5006012,,,,,393432.0,True,0x2B6272Da4872C8727C3577dEB0e77bADf6a61636,False,True,0.006092230508340666,0.15,2.0,True,0.425,0.07193601407807544
5006025,,,,,291063.0,True,0x1405499CC97b190bFefada75B68bdc7bbddde298,True,True,0.06930391147050045,0.15,2.0,True,0.425,0.0934816035207251
5006093,,,,,413593.0,True,0x17c2d539672708003daCE910453bd51E796553b4,False,True,0.00343692776120065,0.15,2.0,True,0.425,0.06033791557603032
5006583,,,,,268342.0,True,0x6CE82a2FEB8baB345D14f7a955d2daaE4fF9d83F,True,True,0.004406399627940918,0.19421877595460377,2.0,True,0.4028906120226981,0.21829811196546461
5006986,,,,,373104.0,True,0x16f5efdfD8baB94599D21b779e1a83992e876cd4,False,True,0.003467894714735424,0.15,2.0,True,0.425,0.08387724489496036
5007221,,,,,434797.0,True,0xF55Cd5C506783621806B0F70bbdbD0573E525909,True,True,0.014608749284133127,0.15,2.0,True,0.425,0.30667496169012554
5007268,,,,,265939.0,True,0x379ba0676c80e90E69Ed88fB917754Cd40c8bd61,False,True,0.006146967281942204,0.15,2.0,True,0.425,0.10980274790997346
5009746,,,,,439927.0,True,0x65650290475eC4A6924E3C3145215492C25F74E4,False,True,0.03596990580924525,0.15,2.0,True,0.425,0.04721654808654365
5010075,,,,,437621.0,True,0x8dEA24025cF3080FE46af8511c1Be871302B2d63,False,True,0.03529860605437245,0.15,2.0,True,0.425,0.1159775865441196
5010629,,,,,436172.0,True,0xF3a88FAE6Ffe731015FB53fB2fa193c9177f87E3,False,True,0.09943129963666592,0.15,2.0,True,0.425,0.050623060780594316
5010729,,,,,262580.0,True,0x700b658c2BC81EAa68d91aa0a026c5a1F8B73Dc6,False,True,0.05891936828854144,0.15,2.0,True,0.425,0.05013613865500328
5011865,,,,,299528.0,True,0x1De3626d6fc2d7c14AF8020B5E8A0c3371D9195D,False,False,0.0370047001251942,0.15,2.0,True,0.425,0.13356694095386323
5012003,,,,,275233.0,True,0xB984b9492b80325e09E7ddAd1b52Ac49d5808e9E,False,True,0.02189443968812761,0.15,2.0,True,0.425,0.06808868300342392
5012936,,,,,260745.0,True,0x3d91Af11eaA234daF1FF1059C50e5d07d0465505,False,True,0.008129177411509172,0.0888843681729108,2.0,True,0.4555578159135446,0.07799359293471288
5014350,,,,,437631.0,True,0x8dEA24025cF3080FE46af8511c1Be871302B2d63,False,True,0.06666440926632772,0.15,2.0,True,0.425,0.0798602940884921
5014581,,,,,293232.0,True,0x3809e3E5b683949f9f8a87EA1525e415A64e78D7,False,True,0.037857851881246705,0.15,2.0,True,0.425,0.06785100059491032
5015133,,,,,264526.0,True,0x2473236056A6faE808C6c31B7E9EE097E003A1FB,False,True,0.050761153987277506,0.15,2.0,True,0.425,0.047633924856633036
5015164,,,,,395048.0,True,0x72AF33db968A476f7f51Ba0F28c1868A8F2b6E4a,True,True,0.002909882691321953,0.15,2.0,True,0.425,0.07100488710936667
5015440,,,,,400489.0,True,0x5eBAD7af6c03f00D5CECA00a80AFD1926fD29e9c,False,True,0.024334380792754365,0.15,2.0,True,0.425,0.04576226728081733
